name,name_kana,category,priority,homepage_url,recruit_page_url,inquiry_form_url,phone,address,employees_range,capital_jpy,established_year,ceo_name,hr_contact_name,hr_contact_email,hr_contact_phone,notes,source,status
サンエー設備工業,,設備工事,4,https://www.example.co.jp/840384/,https://www.example.co.jp/840384/recruit/,https://www.example.co.jp/840384/contact/,03-4657-3286,東京都港区,1-9,30000000,1983,,,,,,seed,active
東邦建設設備,,設備工事,4,https://www.example.co.jp/98357/,https://www.example.co.jp/98357/recruit/,https://www.example.co.jp/98357/contact/,03-7912-1520,東京都千代田区,300-999,300000000,1959,,,,,,seed,active
関電工サブコン東京,,設備工事,2,https://www.example.co.jp/369435/,https://www.example.co.jp/369435/recruit/,https://www.example.co.jp/369435/contact/,03-1434-4257,千葉県千葉市,10-49,300000000,2012,,,,,,seed,active
日成電設,,設備工事,3,https://www.example.co.jp/838272/,https://www.example.co.jp/838272/recruit/,https://www.example.co.jp/838272/contact/,03-1106-3615,東京都品川区,100-299,3000000000,1983,,,,,,seed,active
三和エンジニアリング,,設備工事,3,https://www.example.co.jp/911578/,https://www.example.co.jp/911578/recruit/,https://www.example.co.jp/911578/contact/,03-6514-2674,東京都港区,10-49,3000000000,1975,,,,,,seed,active
明和テクノ設備,,設備工事,3,https://www.example.co.jp/46824/,https://www.example.co.jp/46824/recruit/,https://www.example.co.jp/46824/contact/,03-5333-1711,神奈川県横浜市,50-99,300000000,1992,,,,,,seed,active
東京メカニカルサービス,,設備工事,3,https://www.example.co.jp/451997/,https://www.example.co.jp/451997/recruit/,https://www.example.co.jp/451997/contact/,03-5803-6925,埼玉県さいたま市,100-299,300000000,1958,,,,,,seed,active
中央空調工業,,設備工事,2,https://www.example.co.jp/818357/,https://www.example.co.jp/818357/recruit/,https://www.example.co.jp/818357/contact/,03-4733-5741,東京都港区,1-9,1000000000,1953,,,,,,seed,active
新和エネルギー,,設備工事,5,https://www.example.co.jp/721540/,https://www.example.co.jp/721540/recruit/,https://www.example.co.jp/721540/contact/,03-5554-8428,東京都江東区,3000+,100000000,1960,,,,,,seed,active
大和設備工事,,設備工事,2,https://www.example.co.jp/283796/,https://www.example.co.jp/283796/recruit/,https://www.example.co.jp/283796/contact/,03-5374-2169,埼玉県さいたま市,50-99,1000000000,1974,,,,,,seed,active
六興電気,,設備工事,4,https://www.example.co.jp/473945/,https://www.example.co.jp/473945/recruit/,https://www.example.co.jp/473945/contact/,03-8573-7216,東京都中央区,300-999,30000000,1979,,,,,,seed,active
協立電機設備,,設備工事,5,https://www.example.co.jp/527988/,https://www.example.co.jp/527988/recruit/,https://www.example.co.jp/527988/contact/,03-6313-1916,東京都渋谷区,1000-2999,1000000000,1976,,,,,,seed,active
三建設備工業,,設備工事,4,https://www.example.co.jp/669666/,https://www.example.co.jp/669666/recruit/,https://www.example.co.jp/669666/contact/,03-5386-2084,東京都渋谷区,3000+,100000000,1988,,,,,,seed,active
東洋熱工業,,設備工事,5,https://www.example.co.jp/54770/,https://www.example.co.jp/54770/recruit/,https://www.example.co.jp/54770/contact/,03-9179-7482,神奈川県横浜市,300-999,30000000,1988,,,,,,seed,active
日比谷総合設備,,設備工事,2,https://www.example.co.jp/595790/,https://www.example.co.jp/595790/recruit/,https://www.example.co.jp/595790/contact/,03-9830-5304,埼玉県さいたま市,10-49,1000000000,1979,,,,,,seed,active
高砂熱学テクニカル,,設備工事,3,https://www.example.co.jp/547530/,https://www.example.co.jp/547530/recruit/,https://www.example.co.jp/547530/contact/,03-4593-3266,千葉県千葉市,300-999,50000000,1999,,,,,,seed,active
西原工業,,設備工事,3,https://www.example.co.jp/513409/,https://www.example.co.jp/513409/recruit/,https://www.example.co.jp/513409/contact/,03-2796-3504,東京都新宿区,3000+,3000000000,1954,,,,,,seed,active
新菱冷熱パートナーズ,,設備工事,4,https://www.example.co.jp/345986/,https://www.example.co.jp/345986/recruit/,https://www.example.co.jp/345986/contact/,03-7252-8668,千葉県千葉市,100-299,100000000,1956,,,,,,seed,active
須賀工業,,設備工事,3,https://www.example.co.jp/924858/,https://www.example.co.jp/924858/recruit/,https://www.example.co.jp/924858/contact/,03-2876-9797,東京都中央区,300-999,1000000000,1949,,,,,,seed,active
川本工業,,設備工事,4,https://www.example.co.jp/509865/,https://www.example.co.jp/509865/recruit/,https://www.example.co.jp/509865/contact/,03-8123-3591,神奈川県横浜市,50-99,50000000,1962,,,,,,seed,active
東光電気工事,,設備工事,1,https://www.example.co.jp/610972/,https://www.example.co.jp/610972/recruit/,https://www.example.co.jp/610972/contact/,03-3927-9317,東京都港区,1000-2999,300000000,1981,,,,,,seed,active
関電工西東京,,設備工事,5,https://www.example.co.jp/33599/,https://www.example.co.jp/33599/recruit/,https://www.example.co.jp/33599/contact/,03-4258-3504,東京都江東区,50-99,300000000,2012,,,,,,seed,active
