name,category,priority,recruit_page_url,corporate_url,location,employee_size,notes
高砂熱学工業,建築設備,S,https://www.tte-net.com/recruit/,https://www.tte-net.com/,東京,3000+,
新菱冷熱工業,建築設備,S,https://www.shinryo.com/recruit/,https://www.shinryo.com/,東京,3000+,
ダイダン,建築設備,S,https://www.daidan.co.jp/recruit/,https://www.daidan.co.jp/,大阪,2000+,
三建設備工業,建築設備,A,https://www.sanken-setsubi.co.jp/recruit/,https://www.sanken-setsubi.co.jp/,東京,1500+,
大気社,建築設備,A,https://www.taikisha.co.jp/recruit/,https://www.taikisha.co.jp/,東京,3000+,
朝日工業社,建築設備,A,https://www.asahikogyosha.co.jp/recruit/,https://www.asahikogyosha.co.jp/,東京,1000+,
須賀工業,建築設備,A,https://www.suga-co.co.jp/recruit/,https://www.suga-co.co.jp/,東京,800+,
大成温調,建築設備,A,https://www.taisei-oncho.co.jp/recruit/,https://www.taisei-oncho.co.jp/,東京,1000+,
川崎設備工業,建築設備,B,https://www.kawasakisetsubi.co.jp/recruit/,https://www.kawasakisetsubi.co.jp/,東京,500+,
西原衛生工業所,建築設備,B,https://www.nishihara-eisei.co.jp/recruit/,https://www.nishihara-eisei.co.jp/,東京,500+,
斎久工業,建築設備,B,https://www.saikyu.co.jp/recruit/,https://www.saikyu.co.jp/,東京,500+,
東洋熱工業,建築設備,B,https://www.tonets.co.jp/recruit/,https://www.tonets.co.jp/,東京,1000+,
木村工機,建築設備,B,https://www.kimuhp.co.jp/recruit/,https://www.kimuhp.co.jp/,大阪,300+,
関電工,建築設備,S,https://www.kandenko.co.jp/recruit/,https://www.kandenko.co.jp/,東京,5000+,
きんでん,建築設備,S,https://www.kinden.co.jp/recruit/,https://www.kinden.co.jp/,大阪,5000+,
九電工,建築設備,A,https://www.kyudenko.co.jp/recruit/,https://www.kyudenko.co.jp/,福岡,3000+,
トーエネック,建築設備,A,https://www.toenec.co.jp/recruit/,https://www.toenec.co.jp/,名古屋,3000+,
ユアテック,建築設備,A,https://www.yurtec.co.jp/recruit/,https://www.yurtec.co.jp/,仙台,2000+,
関電プラント,建築設備,B,https://www.kanden-plant.co.jp/recruit/,https://www.kanden-plant.co.jp/,大阪,2000+,
東光電気工事,建築設備,B,https://www.toko-elec.co.jp/recruit/,https://www.toko-elec.co.jp/,東京,500+,
日本電設工業,建築設備,B,https://www.densetsu.co.jp/recruit/,https://www.densetsu.co.jp/,東京,2000+,
かわでん,建築設備,C,https://www.kawaden.com/recruit/,https://www.kawaden.com/,埼玉,500+,
鹿島建設,ゼネコン,S,https://www.kajima.co.jp/recruit/,https://www.kajima.co.jp/,東京,8000+,
大林組,ゼネコン,S,https://www.obayashi.co.jp/recruit/,https://www.obayashi.co.jp/,東京,8000+,
清水建設,ゼネコン,S,https://www.shimz.co.jp/recruit/,https://www.shimz.co.jp/,東京,10000+,
大成建設,ゼネコン,S,https://www.taisei.co.jp/recruit/,https://www.taisei.co.jp/,東京,8000+,
竹中工務店,ゼネコン,S,https://www.takenaka.co.jp/recruit/,https://www.takenaka.co.jp/,大阪,7000+,
戸田建設,ゼネコン,A,https://www.toda.co.jp/recruit/,https://www.toda.co.jp/,東京,4000+,
前田建設工業,ゼネコン,A,https://www.maeda.co.jp/recruit/,https://www.maeda.co.jp/,東京,3000+,
西松建設,ゼネコン,A,https://www.nishimatsu.co.jp/recruit/,https://www.nishimatsu.co.jp/,東京,3000+,
五洋建設,ゼネコン,A,https://www.penta-ocean.co.jp/recruit/,https://www.penta-ocean.co.jp/,東京,3000+,
鴻池組,ゼネコン,A,https://www.konoike.co.jp/recruit/,https://www.konoike.co.jp/,大阪,2000+,
熊谷組,ゼネコン,A,https://www.kumagaigumi.co.jp/recruit/,https://www.kumagaigumi.co.jp/,東京,3000+,
